stock_code,stock_name_gogoal,gogoal_close,gogoal_lclose
600809.SH,山西汾酒,117.35,119.28
688012.SH,中微公司,319.0,319.98
688256.SH,寒武纪,1306.99,1335.0
688981.SH,中芯国际,130.14,130.52
600036.SH,招商银行,38.57,38.95
600050.SH,中国联通,4.37,4.4
600111.SH,北方稀土,51.98,50.47
601816.SH,京沪高铁,4.75,4.87
688111.SH,金山办公,214.3,218.01
600887.SH,伊利股份,24.8,25.41
603259.SH,药明康德,98.16,99.37
600690.SH,海尔智家,20.72,20.97
601658.SH,邮储银行,5.04,5.11
600406.SH,国电南瑞,23.54,23.46
600309.SH,万华化学,70.07,73.5
600519.SH,贵州茅台,1255.67,1271.1
688008.SH,澜起科技,244.17,240.1
601857.SH,中国石油,9.95,10.13
601127.SH,赛力斯,68.78,68.2
601225.SH,陕西煤业,24.4,25.26
601318.SH,中国平安,52.99,54.23
601888.SH,中国中免,58.4,59.08
603501.SH,豪威集团,88.2,88.72
601919.SH,中远海控,14.24,14.49
601985.SH,中国核电,9.23,9.25
603019.SH,中科曙光,84.47,85.45
600900.SH,长江电力,27.19,27.57
600104.SH,上汽集团,10.65,10.79
600276.SH,恒瑞医药,47.35,47.88
600030.SH,中信证券,27.25,26.86
600031.SH,三一重工,18.65,19.19
600760.SH,中航沈飞,42.48,43.28
600150.SH,中国船舶,35.99,35.91
600028.SH,中国石化,4.97,4.99
601166.SH,兴业银行,18.07,18.23
601211.SH,国泰海通,17.79,17.49
601288.SH,农业银行,6.61,6.68
601398.SH,工商银行,7.42,7.57
601601.SH,中国太保,32.5,33.25
601668.SH,中国建筑,4.71,4.75
601628.SH,中国人寿,36.06,36.53
601988.SH,中国银行,6.04,6.13
601899.SH,紫金矿业,30.29,31.31
601328.SH,交通银行,6.95,7.01
601088.SH,中国神华,42.52,43.39
601012.SH,隆基绿能,13.3,13.38
603993.SH,洛阳钼业,20.03,20.92
600930.SH,华电新能,5.69,5.8
601728.SH,中国电信,5.96,6.05
688041.SH,海光信息,294.31,299.32
