stock_code,stock_name,raw_weight_pct,closeweight_data_date,import_time,exchange,board,buy_min_qty,buy_qty_step
600028.SH,中国石化,0.785,2026-05-29,20260617-1703,SH,MAIN,100,100
600030.SH,中信证券,2.824,2026-05-29,20260617-1703,SH,MAIN,100,100
600031.SH,三一重工,1.182,2026-05-29,20260617-1703,SH,MAIN,100,100
600036.SH,招商银行,5.225,2026-05-29,20260617-1703,SH,MAIN,100,100
600050.SH,中国联通,0.755,2026-05-29,20260617-1703,SH,MAIN,100,100
600104.SH,上汽集团,0.629,2026-05-29,20260617-1703,SH,MAIN,100,100
600111.SH,北方稀土,1.366,2026-05-29,20260617-1703,SH,MAIN,100,100
600150.SH,中国船舶,1.875,2026-05-29,20260617-1703,SH,MAIN,100,100
600276.SH,恒瑞医药,2.489,2026-05-29,20260617-1703,SH,MAIN,100,100
600309.SH,万华化学,1.532,2026-05-29,20260617-1703,SH,MAIN,100,100
600406.SH,国电南瑞,1.111,2026-05-29,20260617-1703,SH,MAIN,100,100
600519.SH,贵州茅台,9.221,2026-05-29,20260617-1703,SH,MAIN,100,100
600690.SH,海尔智家,0.87,2026-05-29,20260617-1703,SH,MAIN,100,100
600760.SH,中航沈飞,0.406,2026-05-29,20260617-1703,SH,MAIN,100,100
600809.SH,山西汾酒,0.695,2026-05-29,20260617-1703,SH,MAIN,100,100
600887.SH,伊利股份,1.891,2026-05-29,20260617-1703,SH,MAIN,100,100
600900.SH,长江电力,3.771,2026-05-29,20260617-1703,SH,MAIN,100,100
600930.SH,华电新能,0.209,2026-05-29,20260617-1703,SH,MAIN,100,100
601012.SH,隆基绿能,0.935,2026-05-29,20260617-1703,SH,MAIN,100,100
601088.SH,中国神华,1.861,2026-05-29,20260617-1703,SH,MAIN,100,100
601127.SH,赛力斯,0.739,2026-05-29,20260617-1703,SH,MAIN,100,100
601166.SH,兴业银行,3.479,2026-05-29,20260617-1703,SH,MAIN,100,100
601211.SH,国泰海通,1.93,2026-05-29,20260617-1703,SH,MAIN,100,100
601225.SH,陕西煤业,1.109,2026-05-29,20260617-1703,SH,MAIN,100,100
601288.SH,农业银行,2.017,2026-05-29,20260617-1703,SH,MAIN,100,100
601318.SH,中国平安,6.334,2026-05-29,20260617-1703,SH,MAIN,100,100
601328.SH,交通银行,1.973,2026-05-29,20260617-1703,SH,MAIN,100,100
601398.SH,工商银行,2.594,2026-05-29,20260617-1703,SH,MAIN,100,100
601601.SH,中国太保,1.223,2026-05-29,20260617-1703,SH,MAIN,100,100
601628.SH,中国人寿,0.626,2026-05-29,20260617-1703,SH,MAIN,100,100
601658.SH,邮储银行,0.61,2026-05-29,20260617-1703,SH,MAIN,100,100
601668.SH,中国建筑,1.108,2026-05-29,20260617-1703,SH,MAIN,100,100
601728.SH,中国电信,1.043,2026-05-29,20260617-1703,SH,MAIN,100,100
601816.SH,京沪高铁,1.637,2026-05-29,20260617-1703,SH,MAIN,100,100
601857.SH,中国石油,1.368,2026-05-29,20260617-1703,SH,MAIN,100,100
601888.SH,中国中免,0.646,2026-05-29,20260617-1703,SH,MAIN,100,100
601899.SH,紫金矿业,5.568,2026-05-29,20260617-1703,SH,MAIN,100,100
601919.SH,中远海控,0.99,2026-05-29,20260617-1703,SH,MAIN,100,100
601985.SH,中国核电,0.826,2026-05-29,20260617-1703,SH,MAIN,100,100
601988.SH,中国银行,0.932,2026-05-29,20260617-1703,SH,MAIN,100,100
603019.SH,中科曙光,1.434,2026-05-29,20260617-1703,SH,MAIN,100,100
603259.SH,药明康德,2.791,2026-05-29,20260617-1703,SH,MAIN,100,100
603501.SH,豪威集团,0.893,2026-05-29,20260617-1703,SH,MAIN,100,100
603993.SH,洛阳钼业,1.795,2026-05-29,20260617-1703,SH,MAIN,100,100
688008.SH,澜起科技,3.218,2026-05-29,20260617-1703,SH,STAR,200,1
688012.SH,中微公司,2.159,2026-05-29,20260617-1703,SH,STAR,200,1
688041.SH,海光信息,3.035,2026-05-29,20260617-1703,SH,STAR,200,1
688111.SH,金山办公,0.613,2026-05-29,20260617-1703,SH,STAR,200,1
688256.SH,寒武纪,4.571,2026-05-29,20260617-1703,SH,STAR,200,1
688981.SH,中芯国际,3.107,2026-05-29,20260617-1703,SH,STAR,200,1
